RACE_HISP,SEX,YEAR,births
8,2,2040,653491
8,2,2041,658625
8,2,2042,663660
8,2,2043,668627
8,2,2044,673593
8,2,2045,678638
8,2,2046,683789
8,2,2047,689059
8,2,2048,694434
8,2,2049,699931
8,2,2050,705584
8,2,2051,711373
8,2,2052,717282
8,2,2053,723278
8,2,2054,729329
8,2,2055,735423
8,2,2056,741538
8,2,2057,747625
8,2,2058,753670
8,2,2059,759653
8,2,2060,765559
9,0,2014,2016257
9,0,2015,2016685
9,0,2016,2016219
9,0,2017,2014628
9,0,2018,2011441
9,0,2019,2006578
9,0,2020,1999639
9,0,2021,1990042
9,0,2022,1978198
9,0,2023,1964747
9,0,2024,1950129
9,0,2025,1934590
9,0,2026,1918082
9,0,2027,1900610
9,0,2028,1882521
9,0,2029,1864328
9,0,2030,1846306
9,0,2031,1828716
9,0,2032,1811907
9,0,2033,1796165
9,0,2034,1781533
9,0,2035,1767812
9,0,2036,1754858
9,0,2037,1742626
9,0,2038,1731156
9,0,2039,1720483
9,0,2040,1710530
9,0,2041,1701222
9,0,2042,1692553
9,0,2043,1684435
9,0,2044,1676668
9,0,2045,1669062
9,0,2046,1661447
9,0,2047,1653662
9,0,2048,1645576
9,0,2049,1637062
9,0,2050,1628022
9,0,2051,1618407
9,0,2052,1608178
9,0,2053,1597343
9,0,2054,1585943
9,0,2055,1574009
9,0,2056,1561624
9,0,2057,1548898
9,0,2058,1535940
9,0,2059,1522852
9,0,2060,1509742
9,1,2014,1034221
9,1,2015,1034441
9,1,2016,1034202
9,1,2017,1033385
9,1,2018,1031751
9,1,2019,1029256
9,1,2020,1025697
9,1,2021,1020774
9,1,2022,1014699
9,1,2023,1007799
9,1,2024,1000301
9,1,2025,992331
9,1,2026,983863
9,1,2027,974901
9,1,2028,965622
9,1,2029,956290
9,1,2030,947046
9,1,2031,938024
9,1,2032,929402
